"Color_name","Color_hex"
"grey","#BEBEBE"
"turquoise","#40E0D0"
"blue","#0000FF"
"brown","#A52A2A"
"yellow","#FFFF00"
"green","#00FF00"
"red","#FF0000"
"black","#000000"
"pink","#FFC0CB"
"magenta","#FF00FF"
"purple","#A020F0"
"greenyellow","#ADFF2F"
"tan","#D2B48C"
"salmon","#FA8072"
"cyan","#00FFFF"
"midnightblue","#191970"
"lightcyan","#E0FFFF"
"grey60","#999999"
"lightgreen","#90EE90"
"lightyellow","#FFFFE0"
"royalblue","#4169E1"
"darkred","#8B0000"
"darkgreen","#006400"
"darkturquoise","#00CED1"
"darkgrey","#A9A9A9"
"orange","#FFA500"
"darkorange","#FF8C00"
"white","#FFFFFF"
"skyblue","#87CEEB"
"saddlebrown","#8B4513"
"steelblue","#4682B4"
"paleturquoise","#AFEEEE"
"violet","#EE82EE"
"darkolivegreen","#556B2F"
"darkmagenta","#8B008B"
"sienna3","#CD6839"
"yellowgreen","#9ACD32"
"skyblue3","#6CA6CD"
"plum1","#FFBBFF"
"orangered4","#8B2500"
"mediumpurple3","#8968CD"
"lightsteelblue1","#CAE1FF"
"lightcyan1","#E0FFFF"
"ivory","#FFFFF0"
"floralwhite","#FFFAF0"
"darkorange2","#EE7600"
"brown4","#8B2323"
"bisque4","#8B7D6B"
"darkslateblue","#483D8B"
"plum2","#EEAEEE"
"thistle2","#EED2EE"
"thistle1","#FFE1FF"
"salmon4","#8B4C39"
"palevioletred3","#CD6889"
"navajowhite2","#EECFA1"
"maroon","#B03060"
"lightpink4","#8B5F65"
"lavenderblush3","#CDC1C5"
"honeydew1","#F0FFF0"
"darkseagreen4","#698B69"
"coral1","#FF7256"
"antiquewhite4","#8B8378"
"coral2","#EE6A50"
"mediumorchid","#BA55D3"
"skyblue2","#7EC0EE"
"yellow4","#8B8B00"
"skyblue1","#87CEFF"
"plum","#DDA0DD"
"orangered3","#CD3700"
"mediumpurple2","#9F79EE"
"lightsteelblue","#B0C4DE"
"lightcoral","#F08080"
"indianred4","#8B3A3A"
"firebrick4","#8B1A1A"
"darkolivegreen4","#6E8B3D"
"brown2","#EE3B3B"
"blue2","#0000EE"
"darkviolet","#9400D3"
"plum3","#CD96CD"
"thistle3","#CDB5CD"
"thistle","#D8BFD8"
"salmon2","#EE8262"
"palevioletred2","#EE799F"
"navajowhite1","#FFDEAD"
"magenta4","#8B008B"
"lightpink3","#CD8C95"
"lavenderblush2","#EEE0E5"
"honeydew","#F0FFF0"
"darkseagreen3","#9BCD9B"
"coral","#FF7F50"
"antiquewhite2","#EEDFCC"
"coral3","#CD5B45"
"mediumpurple4","#5D478B"
"skyblue4","#4A708B"
"yellow3","#CDCD00"
"sienna4","#8B4726"
"pink4","#8B636C"
"orangered1","#FF4500"
"mediumpurple1","#AB82FF"
"lightslateblue","#8470FF"
"lightblue4","#68838B"
"indianred3","#CD5555"
"firebrick3","#CD2626"
"darkolivegreen2","#BCEE68"
"blueviolet","#8A2BE2"
"blue4","#00008B"
"deeppink","#FF1493"
"plum4","#8B668B"
"thistle4","#8B7B8B"
"tan4","#8B5A2B"
"salmon1","#FF8C69"
"palevioletred1","#FF82AB"
"navajowhite","#FFDEAD"
"magenta3","#CD00CD"
"lightpink2","#EEA2AD"
"lavenderblush1","#FFF0F5"
"green4","#008B00"
"darkseagreen2","#B4EEB4"
"chocolate4","#8B4513"
"antiquewhite1","#FFEFDB"
"coral4","#8B3E2F"
"mistyrose","#FFE4E1"
"slateblue","#6A5ACD"
"yellow2","#EEEE00"
"sienna2","#EE7942"
"pink3","#CD919E"
"orangered","#FF4500"
"mediumpurple","#9370DB"
"lightskyblue4","#607B8B"
"lightblue3","#9AC0CD"
"indianred2","#EE6363"
"firebrick2","#EE2C2C"
"darkolivegreen1","#CAFF70"
"blue3","#0000CD"
"brown1","#FF4040"
"deeppink1","#FF1493"
"powderblue","#B0E0E6"
"tomato","#FF6347"
"tan3","#CD853F"
"royalblue3","#3A5FCD"
"palevioletred","#DB7093"
"moccasin","#FFE4B5"
"magenta2","#EE00EE"
"lightpink1","#FFAEB9"
"lavenderblush","#FFF0F5"
"green3","#00CD00"
"darkseagreen1","#C1FFC1"
"chocolate3","#CD661D"
"aliceblue","#F0F8FF"
"cornflowerblue","#6495ED"
"navajowhite3","#CDB38B"
"slateblue1","#836FFF"
"whitesmoke","#F5F5F5"
"sienna1","#FF8247"
"pink2","#EEA9B8"
"orange4","#8B5A00"
"mediumorchid4","#7A378B"
"lightskyblue3","#8DB6CD"
"lightblue2","#B2DFEE"
"indianred1","#FF6A6A"
"firebrick","#B22222"
"darkgoldenrod4","#8B6508"
"blue1","#0000FF"
"brown3","#CD3333"
"deeppink2","#EE1289"
"purple2","#912CEE"
"tomato2","#EE5C42"
"tan2","#EE9A49"
"royalblue2","#436EEE"
"paleturquoise4","#668B8B"
"mistyrose4","#8B7D7B"
"magenta1","#FF00FF"
"lightpink","#FFB6C1"
"lavender","#E6E6FA"
"green2","#00EE00"
"darkseagreen","#8FBC8F"
"chocolate2","#EE7621"
"antiquewhite","#FAEBD7"
"cornsilk","#FFF8DC"
"navajowhite4","#8B795E"
"slateblue2","#7A67EE"
"wheat3","#CDBA96"
"sienna","#A0522D"
"pink1","#FFB5C5"
"orange3","#CD8500"
"mediumorchid3","#B452CD"
"lightskyblue2","#A4D3EE"
"lightblue1","#BFEFFF"
"indianred","#CD5C5C"
"dodgerblue4","#104E8B"
"darkgoldenrod3","#CD950C"
"blanchedalmond","#FFEBCD"
"burlywood","#DEB887"
"deepskyblue","#00BFFF"
"red1","#FF0000"
"tomato4","#8B3626"
"tan1","#FFA54F"
"rosybrown4","#8B6969"
"paleturquoise3","#96CDCD"
"mistyrose3","#CDB7B5"
"linen","#FAF0E6"
"lightgoldenrodyellow","#FAFAD2"
"khaki4","#8B864E"
"green1","#00FF00"
"darksalmon","#E9967A"
"chocolate1","#FF7F24"
"antiquewhite3","#CDC0B0"
"cornsilk2","#EEE8CD"
"oldlace","#FDF5E6"
"slateblue3","#6959CD"
"wheat1","#FFE7BA"
"seashell4","#8B8682"
"peru","#CD853F"
"orange2","#EE9A00"
"mediumorchid2","#D15FEE"
"lightskyblue1","#B0E2FF"
"lightblue","#ADD8E6"
"hotpink4","#8B3A62"
"dodgerblue3","#1874CD"
"darkgoldenrod1","#FFB90F"
"bisque3","#CDB79E"
"burlywood1","#FFD39B"
"deepskyblue4","#00688B"
"red4","#8B0000"
"turquoise2","#00E5EE"
"steelblue4","#36648B"
"rosybrown3","#CD9B9B"
"paleturquoise1","#BBFFFF"
"mistyrose2","#EED5D2"
"limegreen","#32CD32"
"lightgoldenrod4","#8B814C"
"khaki3","#CDC673"
"goldenrod4","#8B6914"
"darkorchid4","#68228B"
"chocolate","#D2691E"
"aquamarine","#7FFFD4"
"cyan1","#00FFFF"
"orange1","#FFA500"
"slateblue4","#473C8B"
"violetred4","#8B2252"
"seashell3","#CDC5BF"
"peachpuff4","#8B7765"
"olivedrab4","#698B22"
"mediumorchid1","#E066FF"
"lightskyblue","#87CEFA"
"lemonchiffon4","#8B8970"
"hotpink3","#CD6090"
"dodgerblue1","#1E90FF"
"darkgoldenrod","#B8860B"
"bisque2","#EED5B7"
"burlywood2","#EEC591"
"dodgerblue2","#1C86EE"
"rosybrown2","#EEB4B4"
"turquoise4","#00868B"
"steelblue3","#4F94CD"
"rosybrown1","#FFC1C1"
"palegreen4","#548B54"
"mistyrose1","#FFE4E1"
"lightyellow4","#8B8B7A"
