Gene_ID,GeneName,GSM744800,GSM744801,GSM744802,GSM744803,GSM744804,GSM744805,GSM744806,GSM744807,GSM744808,GSM744809,GSM744810,GSM744811
244901_at,ATMG00640,29.7939,36.2024,36.1042,30.0753,54.1954,25.3383,39.3369,22.4914,37.3784,49.6115,47.5733,37.4795
244902_at,ATMG00650,43.1411,37.6893,37.1182,48.5558,45.7211,21.0891,29.0179,26.3902,35.442,28.4017,24.7378,31.2479
244903_at,,113.001,131.832,134.613,178.99,174.683,100.912,163.06,112.671,123.629,103.018,128.078,138.787
244904_at,,3.27642,22.288,15.6344,5.10939,18.5236,2.93203,20.5673,9.23781,20.3215,10.0426,20.4252,11.5614
244905_at,,3.50614,10.6125,9.07424,19.236,11.4593,7.89291,25.6857,1.67063,5.6707,8.47609,11.449,15.2233
244906_at,ATMG00690,43.4399,66.5986,81.4303,58.9558,84.5968,45.8716,49.2037,66.7317,78.8389,59.1597,74.0677,74.2236
244907_at,,20.8984,20.4662,7.28022,1.46894,19.4635,8.06403,7.15651,7.01434,9.2827,15.7943,14.0909,4.48815
244908_at,,1.00678,1.68937,0.649823,4.51159,1.23091,3.20765,0.898237,5.39512,3.33513,0.79279,1.93306,3.35219
244909_at,,13.6797,8.62556,5.80147,21.3598,3.97714,0.864807,35.0428,2.75434,2.04746,20.1298,6.38943,22.1842
244910_s_at,,26.6629,7.70603,19.5237,32.4805,33.3225,14.7278,15.3968,13.3902,17.0397,31.0955,16.0278,34.3133
244911_at,,6.89246,0.439584,1.35475,14.6478,1.83293,4.6193,0.859443,0.515477,1.12655,17.1548,4.54643,0.900118
244912_at,AT2G07783,868.769,1143.62,1115.3,919.064,1124.48,920.665,1108.96,739.835,1004.02,631.666,878.032,574.061
244913_at,,30.6355,13.0577,21.7542,47.3196,39.5411,3.94316,29.2866,4.28267,13.2292,27.977,28.8759,22.2179
244914_at,,5.33612,0.809639,2.07859,16.3702,3.63302,2.06332,1.57348,13.4256,0.811024,0.787351,2.42732,2.23919
244915_s_at,,26.4086,9.59993,23.0946,33.7162,29.3647,28.5107,31.5047,10.3751,8.34765,41.9304,26.5417,30.824
244916_at,ATMG00880,1.1234,5.96073,5.64891,2.13879,0.836961,7.4455,2.29887,2.90457,5.93291,2.05083,0.638536,2.22089
244917_at,,2.85842,0.882322,6.47537,11.1977,14.3787,1.60196,9.56724,2.15814,11.5472,1.06034,3.2795,15.4956
244918_at,,7.13665,0.702544,1.15116,14.3487,1.70018,9.70301,8.69923,1.84741,1.8653,10.4361,10.342,1.36363
244919_at,AT2G07768 /// ATMG00960,8.13936,22.2405,31.8208,16.0498,19.8212,17.5968,20.9948,16.4025,16.3391,23.4989,23.1949,17.0573
244920_s_at,AT2G07751,637.107,316.151,756.045,822.104,640.049,346.386,856.777,498.259,501.708,575.714,633.495,438.026
244921_s_at,AT2G07674 /// AT2G07751,345.572,126.723,607.658,318.607,424.942,297.216,661.648,382.716,280.487,368.777,449.113,297.389
244922_s_at,AT2G07674,164.379,55.3371,98.6921,78.1079,114.597,50.8076,103.95,81.1531,68.0516,72.2225,103.231,55.2184
244923_s_at,AT2G07674,37.6881,22.7428,22.4805,21.7933,28.7799,15.9486,38.8898,29.3968,33.5072,20.0957,29.1929,6.86053
244924_at,,69.246,62.689,85.3318,143.213,90.573,18.3118,93.0175,61.7868,31.5054,238.681,82.6525,179.83
244925_at,,3.67708,16.7374,5.03555,4.63315,19.6153,11.685,12.5523,3.33504,12.0393,18.3595,9.66631,3.53346
244926_s_at,AT2G07711 /// AT2G07712,27.5955,17.4018,52.7317,5.38279,42.1855,33.4006,29.6005,29.475,47.4702,24.9744,44.6094,2.46498
244927_at,AT2G07776,21.5873,23.5831,6.97626,68.0194,42.4007,29.1427,36.8688,19.2999,24.3205,56.0582,17.5815,39.5355
244928_s_at,AT2G07716,103.62,109.965,94.2953,96.5862,141.679,93.4004,167.242,77.6845,121.513,103.067,118.572,83.4256
244929_at,,375.96,442.838,721.253,762.121,659.536,450.392,736.774,458.912,475.365,418.337,528.829,279.621
244930_at,AT2G07809,12.302,13.6766,11.5549,6.78341,1.56776,2.2307,13.9452,1.67652,11.7169,12.7558,8.99989,10.4763
244931_at,,25.8908,6.4605,18.8315,37.0693,22.5986,14.1278,30.3921,24.2005,28.3496,46.4296,34.395,61.2248
244932_at,,119.269,102.677,150.746,123.631,103.272,62.2048,122.253,140.2,129.66,171.874,123.538,142.382
244933_at,,85.8901,100.805,143.367,167.824,91.7931,85.0419,137.769,188.147,121.107,351.313,90.3817,301.305
244934_at,,128.012,144.73,169.45,278.295,126.212,127.921,179.075,352.422,164.064,411.012,129.657,323.0
244935_at,,1071.81,967.802,1091.36,890.916,707.237,792.355,1116.04,1042.05,1231.83,935.321,948.986,779.297
244936_at,,181.985,197.28,231.901,251.043,138.21,150.477,206.462,214.775,288.621,239.502,205.345,174.077
244937_at,,51.2415,43.4424,31.5769,50.5134,23.5706,19.0239,62.1246,35.8925,56.1989,70.0597,34.6283,32.7504
244938_at,,165.672,125.218,188.502,188.229,143.735,129.973,193.813,168.602,185.839,218.391,151.625,184.011
244939_at,,114.894,86.1056,104.133,92.9578,139.349,92.6257,154.061,89.2517,159.755,131.118,81.9675,85.2139
244940_at,,896.614,879.229,924.606,991.531,789.24,592.381,922.542,579.021,1286.33,948.561,823.196,594.832
