TF	target	importance
AT3G15500	AT2G21900	0.0172364868302276
AT1G28470	AT1G29670	0.0172364868302276
AT3G15500	AT4G12280	0.0172364868302276
AT2G30250	AT1G76070	0.0172364868302276
AT1G74840	AT2G15890	0.0172364868302276
AT2G43000	AT4G26120	0.0172364868302276
AT2G43000	AT1G42990	0.0172364868302276
AT3G23250	AT3G44720	0.0172364868302276
AT2G38470	AT4G33050	0.0172364868302276
AT3G15500	AT1G57990	0.0172364868302276
AT3G01970	AT1G02530	0.0172364868302276
AT2G43000	AT2G38860	0.0172364868302276
AT2G43000	AT3G25610	0.0172364868302276
AT3G23250	AT1G68450	0.0172364868302276
AT2G43000	AT1G26410	0.0172364868302276
AT1G18570	AT5G42830	0.0172364868302276
AT1G34180	AT2G42840	0.0172364868302276
AT3G15500	AT3G03870	0.0172364868302276
AT2G21900	AT1G70810	0.0172364868302276
AT1G28470	AT1G02520	0.0172364868302276
AT3G23250	AT5G25250	0.0172364868302276
AT2G21900	AT3G03670	0.0172364868302276
AT3G15500	AT1G57650	0.0172364868302276
AT2G43000	AT5G26920	0.0172364868302276
AT3G15500	AT4G21380	0.0172364868302276
AT3G15500	AT1G69790	0.0172364868302276
AT3G15500	AT1G05880	0.0172364868302276
AT2G38340	AT3G15500	0.0172364868302276
AT3G01970	AT1G02520	0.0172364868302276
AT2G21900	AT5G67340	0.0172364868302276
AT2G30250	AT1G23710	0.0172364868302276
AT2G43000	AT4G04990	0.0172364868302276
AT3G15500	AT5G22270	0.0172364868302276
AT2G38340	AT4G18990	0.0172364868302276
AT2G38340	AT5G42380	0.0172364868302276
AT3G15500	AT5G39110	0.0172364868302276
AT1G28470	AT5G26920	0.0172364868302276
AT3G15500	AT1G48260	0.0172364868302276
AT4G04890	AT3G13380	0.0172364868302276
AT4G04890	AT5G63560	0.0172364868302276
AT2G43000	AT4G09100	0.0172364868302276
AT2G43000	AT5G25930	0.0172364868302276
AT2G21900	AT1G35210	0.0172364868302276
AT3G12820	AT5G02780	0.0172364868302276
AT2G24430	AT5G22500	0.0172364868302276
AT1G42990	AT1G02520	0.0172364868302276
AT4G04890	AT5G25610	0.0172364868302276
AT3G50260	AT5G27420	0.0172364868302276
AT2G24430	AT1G28470	0.0172364868302276
AT2G43000	AT3G63380	0.0172364868302276
AT2G43000	AT1G03660	0.0172364868302276
AT1G42990	AT1G02530	0.0172364868302276
AT2G21900	AT1G26410	0.0172364868302276
AT1G28470	AT1G02530	0.0172364868302276
AT2G38340	AT3G10930	0.0172364868302276
AT1G18570	AT2G39400	0.0172364868302276
AT1G28470	AT3G48020	0.0172364868302276
AT2G33480	AT3G48020	0.0172364868302276
AT3G23250	AT4G37900	0.0172364868302276
AT3G23250	AT1G33030	0.0172364868302276
AT3G50260	AT1G05340	0.0172364868302276
AT3G01970	AT1G68450	0.0172364868302276
AT2G22540	AT4G38580	0.0172364868302276
AT1G18570	AT5G35735	0.0172364868302276
AT2G33480	AT4G15630	0.0172364868302276
AT2G38470	AT5G25930	0.0172364868302276
AT2G22540	AT4G23700	0.0172364868302276
AT3G23250	AT4G26120	0.0172364868302276
AT3G15500	AT4G30790	0.0172364868302276
AT4G18880	AT3G48020	0.0172364868302276
AT2G43000	AT1G76070	0.0172364868302276
AT2G21900	AT1G76700	0.0172364868302276
AT1G18570	AT3G01970	0.0172364868302276
AT1G01060	AT3G24170	0.0172364868302276
AT2G43000	AT2G30750	0.0172364868302276
AT3G15500	AT1G26410	0.0172364868302276
AT2G24430	AT4G25960	0.0172364868302276
AT1G18570	AT5G41750	0.0172364868302276
AT3G50260	AT5G08240	0.0172364868302276
AT3G15500	AT5G67340	0.0172364868302276
AT2G38340	AT1G69790	0.0172364868302276
AT3G50260	AT4G37390	0.0172364868302276
AT2G43000	AT3G19580	0.0172364868302276
AT3G01970	AT1G32230	0.0172364868302276
AT2G43000	AT5G42380	0.0172364868302276
AT2G47260	AT5G59530	0.0172364868302276
AT4G18880	AT5G25930	0.0172364868302276
AT1G18570	AT1G02530	0.0172364868302276
AT2G43000	AT1G55020	0.0172364868302276
AT1G33420	AT4G15630	0.0172364868302276
AT1G42990	AT1G76600	0.0172364868302276
AT2G38340	AT1G57650	0.0172364868302276
AT3G50260	AT2G28570	0.0172364868302276
AT3G50260	AT5G39580	0.0172364868302276
AT2G21900	AT5G38900	0.0172364868302276
AT3G15500	AT2G29220	0.0172364868302276
AT3G15500	AT4G26200	0.0172364868302276
AT3G15500	AT2G26400	0.0172364868302276
AT3G15500	AT3G62150	0.0172364868302276
AT1G28470	AT2G38860	0.0172364868302276
AT1G18570	AT1G74360	0.0172364868302276
AT3G15500	AT1G61820	0.0172364868302276
AT3G15500	AT4G23180	0.0172364868302276
AT3G15500	AT1G18570	0.0172364868302276
AT2G24430	AT2G39400	0.0172364868302276
AT1G28470	AT5G25930	0.0172364868302276
AT3G23250	AT1G02520	0.0172364868302276
AT2G38340	AT3G18250	0.0172364868302276
AT1G34180	AT4G14060	0.0172364868302276
AT3G15500	AT1G68450	0.0172364868302276
AT2G21900	AT1G63750	0.0172364868302276
AT1G18570	AT1G68450	0.0172364868302276
AT2G21900	AT5G42830	0.0172364868302276
AT2G30250	AT3G19580	0.0172364868302276
AT2G21900	AT1G02530	0.0172364868302276
AT2G43000	AT4G11170	0.0172364868302276
AT3G15500	AT2G30770	0.0172364868302276
AT2G24430	AT1G27950	0.0172364868302276
AT2G38340	AT2G32210	0.0172364868302276
AT1G34180	AT5G64000	0.0172364868302276
AT3G15500	AT1G44130	0.0172364868302276
AT3G23250	AT1G67800	0.0172364868302276
AT2G43000	AT4G21380	0.0172364868302276
AT2G43000	AT2G35730	0.0172364868302276
AT3G15500	AT3G01650	0.0172364868302276
AT2G21900	AT1G26380	0.0172364868302276
AT1G28470	AT5G46180	0.0172364868302276
AT1G34180	AT5G07390	0.0172364868302276
AT3G01970	AT1G23710	0.0172364868302276
AT4G18880	AT1G51500	0.0172364868302276
AT2G30250	AT5G25930	0.0172364868302276
AT2G43000	AT1G74360	0.0172364868302276
AT3G23250	AT3G47730	0.0172364868302276
AT2G21900	AT1G02520	0.0172364868302276
AT2G24430	AT1G28010	0.0172364868302276
AT3G15500	AT4G28460	0.0172364868302276
AT1G18570	AT1G02520	0.0172364868302276
AT1G74840	AT1G80920	0.0172364868302276
AT3G15500	AT3G28510	0.0172364868302276
AT3G23250	AT5G48400	0.0172364868302276
AT2G24430	AT1G06360	0.0172364868302276
AT2G43000	AT3G15500	0.0172364868302276
AT3G15500	AT1G32940	0.0172364868302276
AT2G30250	AT1G70810	0.0172364868302276
AT2G30250	AT5G06740	0.0172364868302276
AT3G50260	AT4G29020	0.0172364868302276
AT2G21900	AT1G66090	0.0172364868302276
AT3G15500	AT4G18990	0.0172364868302276
AT2G22540	AT5G02790	0.0172364868302276
AT2G30250	AT1G18570	0.0172364868302276
AT4G04890	AT5G22500	0.0172364868302276
AT3G15500	AT1G32960	0.0172364868302276
AT2G43000	AT1G05060	0.0172364868302276
AT3G15500	AT1G33030	0.0172364868302276
AT3G50260	AT1G28380	0.0172364868302276
AT3G23250	AT5G25260	0.0172364868302276
AT3G50260	AT3G55270	0.0172364868302276
AT2G30250	AT2G18690	0.0172364868302276
AT5G18270	AT3G25610	0.0172364868302276
AT2G43000	AT1G19020	0.0172364868302276
AT2G38470	AT5G27420	0.0172364868302276
AT3G15500	AT5G06730	0.0172364868302276
AT2G30250	AT1G76700	0.0172364868302276
AT1G28470	AT1G33030	0.0172364868302276
AT3G12720	AT2G28660	0.0172364868302276
AT3G15500	AT3G14770	0.0172364868302276
AT1G28470	AT3G19580	0.0172364868302276
AT4G18880	AT1G29670	0.0172364868302276
AT2G43000	AT3G48850	0.0172364868302276
AT2G24430	AT4G29020	0.0172364868302276
