TF	Target	importance
AT1G25550	AT2G40000	
AT5G11260	AT1G13740	
AT2G46590	AT4G32720	
AT4G18770	AT5G10170	
AT5G61600	AT5G11070	
AT1G25550	AT1G60010	
AT1G25550	AT1G10140	
AT5G28770	AT4G37390	
AT3G49690	AT3G52750	
AT5G47390	AT1G04440	
AT5G47390	AT5G28770	
AT5G28770	AT1G28330	
AT3G11280	AT5G53160	
AT5G67300	AT4G23810	
AT2G33710	AT5G39050	
AT5G47390	AT2G37750	
AT5G47390	AT4G28240	
AT4G36730	AT1G15040	
AT5G47390	AT2G25090	
AT1G74840	AT1G80440	
AT5G47390	AT5G18650	
AT4G37260	AT1G51400	
AT1G32150	AT3G08930	
AT5G47390	AT1G78890	
AT1G74840	AT3G19860	
AT1G32150	AT1G72820	
AT3G47500	AT5G67160	
AT4G34590	AT2G42740	
AT5G05790	AT1G65060	
AT5G47390	AT5G06800	
AT4G17785	AT2G15490	
AT5G60890	AT2G20610	
AT1G22810	AT1G68620	
AT3G12820	AT1G19850	
AT1G74840	AT5G24490	
AT5G61600	AT1G73540	
AT5G08520	AT1G60140	
AT5G25810	AT3G13750	
AT1G72360	AT5G13080	
AT5G07680	AT2G43590	
AT1G49480	AT5G61590	
AT5G08520	AT1G03850	
AT1G77920	AT1G10480	
AT5G47390	AT5G09440	
AT2G04038	AT2G40350	
AT1G18330	AT5G36870	
AT5G47390	AT1G31120	
AT3G49530	AT2G05940	
AT2G04038	AT4G30490	
AT4G25490	AT1G80840	
AT5G67300	AT5G58930	
AT5G52020	AT1G02520	
AT4G22070	AT4G30490	
AT1G27730	AT2G07780	
AT5G28770	AT1G13260	
AT1G27730	AT4G24570	
AT3G10113	AT3G55450	
AT1G49480	AT5G63620	
AT5G04820	AT1G30720	
AT1G74840	AT1G11260	
AT3G11280	AT5G18670	
AT5G62940	AT1G30490	
AT4G37260	AT1G76590	
AT5G08520	AT1G13450	
AT1G72360	AT4G28240	
AT5G04820	AT2G40000	
AT5G28770	AT3G23080	
AT1G76590	AT5G13090	
AT1G77920	AT3G59360	
AT5G61600	AT3G55980	
AT1G74840	AT1G28330	
AT3G56400	AT5G19120	
AT1G74840	AT3G49790	
AT4G37260	AT1G10150	
AT1G72360	AT4G37590	
AT5G47390	AT1G13450	
AT5G47390	AT2G17440	
AT5G47390	AT5G19120	
AT4G36730	AT1G80440	
AT3G15210	AT5G38410	
AT5G08520	AT1G61590	
AT1G46768	AT1G60000	
AT3G10113	AT1G53320	
AT1G08320	AT3G13750	
AT5G47390	AT1G78290	
AT5G52020	AT3G09350	
AT3G20770	AT4G26220	
AT5G47390	AT3G07310	
AT3G12820	AT5G38820	
AT2G40340	AT1G60750	
AT1G72360	AT3G07310	
AT3G50060	AT5G53030	
AT5G47390	AT3G59940	
AT1G74650	AT2G05840	
AT1G25550	AT5G64040	
AT5G08520	AT2G17440	
AT5G13910	AT2G45290	
AT1G74840	AT5G28770	
AT2G46590	AT2G43100	
AT3G11280	AT3G15450	
AT3G45610	AT1G66120	
AT1G72360	AT5G19120	
AT4G39780	AT5G49360	
AT1G74840	AT1G13260	
AT4G37260	AT1G61810	
AT5G47390	AT1G58180	
AT5G28770	AT4G32870	
AT5G47390	AT5G25830	
AT5G47390	AT2G36320	
AT5G47390	AT4G30690	
AT1G74840	AT1G31120	
AT3G22830	AT5G23010	
AT4G37260	AT1G80440	
AT1G76590	AT4G37260	
AT3G10113	AT2G29800	
AT1G13450	AT5G19120	
AT5G47390	AT4G08920	
AT1G74840	AT3G48360	
AT1G51700	AT4G11280	
AT5G47390	AT5G60680	
AT1G74840	AT4G28240	
AT5G13080	AT3G52070	
AT4G37260	AT1G25400	
AT5G47390	AT4G05070	
AT1G51700	AT1G37140	
AT1G74840	AT5G49450	
AT1G74840	AT4G38470	
AT1G19000	AT4G01026	
AT5G47390	AT1G03850	
AT5G08520	AT2G28120	
AT2G44940	AT5G37550	
AT1G27730	AT3G44260	
AT5G11260	AT2G15690	
AT2G37590	AT2G02130	
AT5G17430	AT1G34200	
AT1G13260	AT1G20650	
AT1G72360	AT3G26510	
AT2G37590	AT1G70470	
AT1G74840	AT1G23870	
AT1G74840	AT4G01026	
AT1G74840	AT5G13080	
AT5G08520	AT2G24150	
AT5G08520	AT1G52760	
AT4G38620	AT5G40590	
AT1G27730	AT3G55980	
AT5G28770	AT5G41080	
AT2G38470	AT4G20000	
AT2G40340	AT5G25930	
AT4G22070	AT5G40590	
AT1G74840	AT1G28100	
AT5G47390	AT4G19160	
AT1G25550	AT2G44890	
AT5G28770	AT3G10020	
AT1G18330	AT2G29800	
AT1G08320	AT5G27920	
AT5G47390	AT4G19420	
AT4G37260	AT1G03610	
AT1G51700	AT4G25470	
AT4G22070	AT3G09440	
AT3G23250	AT2G30040	
AT3G23250	AT1G37000	
AT2G40340	AT4G02940	
AT1G74840	AT1G70290	
AT1G19000	AT4G32260	
AT5G07680	AT2G01480	
AT5G28770	AT5G47390	
AT1G08320	AT2G37750	
AT5G47390	AT1G23870	
AT5G47390	AT1G56220	
AT3G47500	AT1G31050	
AT1G25550	AT5G18170	
AT5G08520	AT5G60680	
AT1G74840	AT3G61060	
AT1G74840	AT2G38400	
AT1G22810	AT4G22690	
AT5G28770	AT2G15890	
AT1G74840	AT1G13450	
AT5G47390	AT3G59110	
AT1G74840	AT2G17440	
AT1G72360	AT4G12080	
AT4G37260	AT5G18170	
