TF	Target	importance
AT3G15500	AT3G62150	
AT3G50260	AT2G28570	
AT2G43000	AT3G48850	
AT3G12820	AT5G02780	
AT2G43000	AT1G69790	
AT1G28470	AT1G59500	
AT4G04890	AT3G08770	
AT2G38340	AT3G18250	
AT3G15500	AT2G30770	
AT1G18570	AT4G28350	
AT1G18570	AT3G01970	
AT3G23250	AT1G02520	
AT2G43000	AT1G76070	
AT1G32870	AT2G36790	
AT1G28470	AT2G17050	
AT2G21900	AT4G11170	
AT1G28470	AT1G02530	
AT2G43000	AT1G66700	
AT3G50260	AT4G37390	
AT2G24430	AT5G22270	
AT5G28770	AT1G28330	
AT2G38340	AT4G18990	
AT4G04890	AT5G22500	
AT1G28470	AT5G46180	
AT1G18570	AT2G39400	
AT3G23250	AT3G47730	
AT3G01970	AT1G02520	
AT3G50260	AT3G55270	
AT1G28470	AT3G62150	
AT3G23250	AT4G18250	
AT3G23250	AT2G38860	
AT3G23250	AT4G37900	
AT4G04890	AT5G63560	
AT1G28470	AT5G60710	
AT2G24430	AT1G27950	
AT2G24430	AT5G63560	
AT3G15500	AT1G57990	
AT3G15500	AT3G04630	
AT2G43000	AT3G19580	
AT3G23250	AT1G68450	
AT2G22540	AT4G38580	
AT1G28470	AT1G29670	
AT3G15500	AT1G69790	
AT2G30250	AT2G18690	
AT2G46400	AT1G32960	
AT5G18270	AT5G54730	
AT2G22540	AT1G55260	
AT3G15500	AT2G43000	
AT2G43000	AT4G01010	
AT1G33420	AT4G15630	
AT5G10510	AT3G08760	
AT1G74840	AT5G24490	
AT2G43000	AT5G57220	
AT2G43000	AT1G42990	
AT4G18880	AT5G25930	
AT2G47260	AT5G59530	
AT2G21900	AT1G66090	
AT4G18880	AT3G48020	
AT3G15500	AT2G26400	
AT3G15500	AT2G21900	
AT1G34180	AT5G07390	
AT1G34180	AT5G48410	
AT2G30250	AT5G25930	
AT2G43000	AT2G01300	
AT2G21900	AT1G23710	
AT3G15500	AT5G57510	
AT2G38470	AT4G33050	
AT2G38340	AT3G10930	
AT3G15500	AT4G30790	
AT3G15500	AT2G29350	
AT2G38470	AT2G30250	
AT2G24430	AT1G01190	
AT3G15500	AT5G38910	
AT3G01970	AT1G23710	
AT1G34180	AT4G14060	
AT1G28470	AT4G24510	
AT1G28470	AT2G38860	
AT3G23250	AT3G48020	
AT2G24430	AT1G28470	
AT3G50260	AT2G30250	
AT2G38340	AT3G15500	
AT2G38470	AT5G25930	
AT3G15500	AT1G32940	
AT3G01970	AT1G68450	
AT3G23250	AT1G13340	
AT1G32870	AT2G36800	
AT3G23250	AT5G48400	
AT1G01060	AT3G24170	
AT2G21900	AT1G63750	
AT1G28470	AT3G48020	
AT3G01970	AT1G02530	
AT3G15500	AT1G01190	
AT3G15500	AT4G12280	
AT3G23250	AT1G67800	
AT3G15500	AT3G14770	
AT3G50260	AT3G19580	
AT3G23250	AT1G08050	
AT3G23250	AT5G25260	
AT2G24430	AT2G42840	
AT2G21900	AT1G26380	
AT1G34180	AT5G64000	
AT2G43000	AT4G04990	
AT2G22540	AT5G02790	
AT2G43000	AT4G26120	
