TF	Target	importance
AT4G17785	AT2G15490	0.02024482896092884
AT1G74840	AT2G15890	0.009664579885302027
AT1G74840	AT4G38470	0.015591779589847168
AT4G34590	AT2G42740	0.0021906334224825177
AT5G28770	AT2G15890	0.042925322063465506
AT3G11280	AT4G39675	0.006792496021958986
AT1G51700	AT4G25470	0.01653710310031352
AT4G25490	AT1G80840	0.016927265105494492
AT5G67300	AT4G23810	0.0018916994789835698
AT4G22070	AT4G30490	0.027320558426704323
AT2G46590	AT4G32720	0.01717462024085262
AT5G11260	AT2G15690	0.009072163685586757
AT3G15210	AT5G38410	0.0036649798680041335
AT4G37260	AT5G18170	0.0034975519903247937
AT5G47390	AT2G17440	0.029834256361941473
AT5G13910	AT2G45290	0.022446267407528257
AT5G60890	AT2G20610	0.017687002274953574
AT5G25830	AT5G47390	1.3248084188915272e-05
AT1G25550	AT5G18170	0.0018678992438011502
AT5G47390	AT5G28770	0.034322217842399624
AT1G74840	AT4G01026	0.0514563952801245
AT4G37260	AT1G61810	0.017988274001844305
AT3G12820	AT1G19850	0.031317889294314706
AT1G74840	AT1G80440	0.0420571693051087
AT3G56400	AT5G19120	0.04828270616564581
AT1G27730	AT2G07780	0.001094275850586069
AT3G11280	AT4G37610	0.051880252652925805
AT5G47390	AT3G19860	0.012272661788583649
AT5G28770	AT5G64040	0.009621407820422883
AT5G07680	AT2G43590	0.019967255332225105
AT5G28770	AT1G13260	0.005359894874584287
AT5G47390	AT1G03850	3.096031290778043e-05
AT3G23250	AT2G30040	0.0035306366645459276
AT2G37590	AT1G70470	0.01635077330204631
AT4G37260	AT1G25400	0.029723299834475508
AT5G47390	AT4G05070	0.009319864562631676
AT3G11280	AT5G53160	0.010310402089367447
AT5G47390	AT3G59110	0.016378397466903255
AT3G10113	AT3G55450	0.003425426224444427
AT1G51700	AT4G20270	0.02195033924538773
AT5G28770	AT3G10020	0.0392914159562131
AT1G74840	AT5G13080	0.14131652431652497
AT5G13080	AT5G13950	1.050825374861747e-05
AT1G32150	AT3G08930	0.0032245404685720446
AT4G22070	AT5G40590	0.04195469825562274
AT5G47390	AT1G78890	0.008993357176216283
AT1G74840	AT4G39675	0.03239514509001972
AT5G47390	AT1G13450	0.01590690007741176
AT5G08520	AT1G61590	0.00721501156375592
AT5G52020	AT1G02520	0.01495191846001045
AT1G08320	AT3G13750	0.001293076613973845
AT5G08520	AT2G17440	0.025336754782443464
AT3G11280	AT3G15450	0.0336582512426977
AT5G52020	AT3G09350	0.09972615835353749
AT5G47390	AT1G04440	0.009813070878008106
AT1G22810	AT1G68620	0.005564044318814793
AT5G08520	AT1G60140	0.0076691162963638685
AT5G05790	AT5G17450	0.0012596991778092647
AT5G28770	AT3G23080	0.001957547400510742
AT4G37260	AT1G76590	9.091357834711797e-06
AT5G47390	AT4G28240	0.023797166725233476
AT1G74840	AT1G13260	0.021468325808462602
AT2G40340	AT5G25930	0.010286694925107859
AT5G47390	AT5G60680	0.02379728438112672
AT1G74840	AT5G24490	0.00011174496064424431
AT1G74840	AT1G03610	0.019193176838703113
AT2G04038	AT4G30490	0.00035693329355154015
AT5G47390	AT4G08920	0.0667002507656439
AT5G47390	AT1G23870	0.0190708261775064
AT1G51700	AT4G11280	0.030078087428815035
AT3G22830	AT4G15975	0.015459868208187393
AT1G18330	AT5G36870	0.003643851829140079
AT1G74840	AT3G19860	0.03217381860169308
AT5G51190	AT4G24570	0.00014869977456151285
AT3G23250	AT5G37770	0.02793251113697655
AT5G13080	AT5G02020	0.007421723886350553
AT3G15210	AT1G27130	5.61705722764664e-05
AT4G37260	AT2G19810	0.008334480514801077
AT1G74840	AT2G02710	0.03285155164993065
AT4G37260	AT1G51400	0.018804594250264692
AT5G17430	AT1G34200	0.03792851663819155
AT3G10500	AT3G55090	0.05690686017582099
AT1G74840	AT3G49790	0.005900733597574869
AT1G08320	AT5G27920	0.027283673836881656
