nodeName	altName	nodeAttr[nodesPresent, ]
244911_at	ATMG00820	red
244914_at	AT2G07682	red
244914_at	ATMG00850	red
244924_at	ATMG01040	red
244924_at	AT2G07664	red
244929_at	ATMG00580	brown
244930_at	AT2G07809	blue
244933_at	ATCG01070	turquoise
244941_at	ATMG00010	brown
244942_at	ATMG00050	red
244943_at	ATMG00070	green
244945_at	ATMG00110	brown
244952_at	AT2G07799	brown
244952_at	ATMG00260	brown
244960_at	ATCG01020	red
244963_at	ATCG00570	red
244964_at	ATCG00580	red
244965_at	ATCG00590	purple
244973_at	ATCG00690	turquoise
244977_at	ATCG00730	turquoise
244981_at	ATCG00770	yellow
244986_at	ATCG00820	purple
244987_s_at	ATCG00830	purple
244987_s_at	ATCG01310	purple
244989_s_at	ATCG01280	red
244989_s_at	ATCG00860	red
244990_s_at	ATCG01270	turquoise
244990_s_at	ATCG00870	turquoise
244994_at	ATCG01010	turquoise
245005_at	ATCG00330	red
245008_at	ATCG00360	brown
245009_at	ATCG00380	purple
245013_at	ATCG00470	brown
245017_at	ATCG00510	tan
245019_at	ATCG00530	green
245020_at	ATCG00540	blue
245022_at	ATCG00560	red
245023_at	ATCG00080	yellow
245030_at	AT2G26620	yellow
245031_at	AT2G26360	black
245033_at	AT2G26380	red
245036_at	AT2G26410	greenyellow
245038_at	AT2G26560	greenyellow
245041_at	AT2G26530	yellow
245042_at	AT2G26540	red
245043_at	AT2G26430	blue
245044_at	AT2G26500	blue
245045_at	AT2G26590	greenyellow
245046_at	AT2G26510	pink
245050_at	ATCG00070	yellow
245057_at	AT2G26490	green
245058_at	AT2G39790	green
245060_at	AT2G39770	turquoise
245061_at	AT2G39730	pink
245064_at	AT2G39725	brown
245066_at	AT2G39840	brown
245067_at	AT2G39780	turquoise
245068_at	AT2G23260	turquoise
245070_at	AT2G23240	green
245072_s_at	AT2G23190	tan
245072_s_at	AT2G23220	tan
245076_at	AT2G23170	greenyellow
245080_at	AT2G23300	red
245082_at	AT2G23270	purple
245086_at	AT2G39820	yellow
245088_at	AT2G39850	green
245089_at	AT2G45290	brown
245090_at	AT2G40900	brown
245099_at	AT2G40830	yellow
245101_at	AT2G40890	green
245104_at	AT2G41600	red
245106_at	AT2G41650	brown
245111_at	AT2G41570	yellow
245115_at	AT2G41530	pink
245116_at	AT2G41620	yellow
245117_at	AT2G41560	magenta
245119_at	AT2G41640	red
245126_at	AT2G47460	purple
245129_at	AT2G45350	magenta
245133_at	AT2G45310	brown
245136_at	AT2G45210	pink
245140_at	AT2G45420	yellow
245141_at	AT2G45400	turquoise
245144_at	AT2G45240	turquoise
245148_at	AT2G45220	pink
245152_at	AT2G47490	brown
245158_at	AT2G33130	black
245162_at	AT2G33240	blue
245163_at	AT2G33230	purple
245167_s_at	AT2G33120	magenta
245167_s_at	AT2G33110	magenta
245172_at	AT2G47540	turquoise
245176_at	AT2G47440	turquoise
245178_at	AT5G12390	turquoise
245179_at	AT5G12400	turquoise
245180_at	AT5G12410	red
245181_at	AT5G12420	green
245184_at	AT1G67790	red
245185_at	AT1G67760	magenta
245190_at	AT1G67690	turquoise
245196_at	AT1G67750	blue
245197_at	AT1G67800	brown
245198_at	AT1G67700	blue
245203_at	AT3G33080	red
245204_at	AT5G12270	purple
245205_at	AT5G12280	brown
245221_s_at	AT1G59265	black
245221_s_at	AT1G58889	black
245222_at	AT3G29787	turquoise
245223_at	AT3G29791	green
245228_at	AT3G29810	blue
245232_at	AT4G25590	red
245233_at	AT4G25580	green
245238_at	AT4G25570	black
245244_at	AT1G44350	black
245245_at	AT1G44318	turquoise
245246_at	AT1G44224	yellow
245248_at	AT4G15415	pink
245249_at	AT4G16760	brown
245252_at	AT4G17500	blue
245254_at	AT4G14680	purple
245255_at	AT4G14110	turquoise
245257_at	AT4G14640	tan
245258_at	AT4G15340	black
245262_at	AT4G16563	turquoise
245265_at	AT4G14400	purple
245269_at	AT4G14500	blue
245274_at	AT4G14360	green
245275_at	AT4G15210	green
245277_at	AT4G15550	brown
245278_at	AT4G17730	black
245279_at	AT4G17270	pink
245281_at	AT4G15560	yellow
245284_at	AT4G14210	turquoise
245291_at	AT4G16155	turquoise
245293_at	AT4G16660	greenyellow
245296_at	AT4G16370	brown
245301_at	AT4G17190	magenta
245306_at	AT4G14690	brown
245307_at	AT4G16770	yellow
245310_at	AT4G13950	red
245311_at	AT4G14320	brown
245314_at	AT4G16745	greenyellow
245316_at	AT4G14000	black
245318_at	AT4G16980	red
245319_at	AT4G16146	brown
245323_at	AT4G16500	black
245324_at	AT4G17260	brown
245325_at	AT4G14130	blue
245329_at	AT4G14365	black
245333_at	AT4G14615	pink
245336_at	AT4G16515	red
245338_at	AT4G16442	turquoise
245343_at	AT4G15830	red
245344_at	AT4G15475	pink
245347_at	AT4G14890	black
245348_at	AT4G17770	yellow
245351_at	AT4G17640	turquoise
245352_at	AT4G15490	brown
245353_at	AT4G16000	black
245356_at	AT4G13940	red
245361_at	AT4G17790	pink
245364_at	AT4G15790	brown
245369_at	AT4G15975	purple
245372_at	AT4G15000	red
245373_s_at	AT4G14710	green
245373_s_at	AT4G14716	green
245381_at	AT4G17785	purple
245382_at	AT4G17800	pink
245385_at	AT4G14020	yellow
245387_at	AT4G17520	green
245388_at	AT4G16410	pink
245391_at	AT4G16520	turquoise
245393_at	AT4G16260	turquoise
245396_at	AT4G14870	blue
245397_at	AT4G14560	red
245401_at	AT4G17670	brown
245402_at	AT4G17585	black
245404_at	AT4G17610	yellow
245405_at	AT4G17150	brown
245409_at	AT4G17200	magenta
245410_at	AT4G17220	blue
245416_at	AT4G17350	black
245422_at	AT4G17470	turquoise
245424_at	AT4G17505	red
245429_at	AT4G17580	red
245431_at	AT4G17080	blue
245432_at	AT4G17100	pink
245436_at	AT4G16620	turquoise
245439_at	AT4G16670	blue
245447_at	AT4G16820	purple
245450_at	AT4G16880	magenta
245460_at	AT4G16990	red
245464_at	AT4G17050	green
245470_at	AT4G16020	green
245471_at	AT4G16030	green
245473_at	AT4G16050	black
245479_at	AT4G16140	turquoise
245487_at	AT4G16250	red
245488_at	AT4G16270	pink
245492_at	AT4G16340	yellow
245495_at	AT4G16400	black
245496_at	AT4G16440	yellow
245497_at	AT4G16460	black
245501_at	AT4G15620	red
245505_at	AT4G15690	green
245506_at	AT4G15700	red
245507_at	AT4G15710	magenta
245512_at	AT4G15770	brown
245513_at	AT4G15780	yellow
245524_at	AT4G15920	tan
245525_at	AT4G15930	yellow
245528_at	AT4G15530	blue
245534_at	AT4G15150	green
245535_at	AT4G15160	yellow
245538_at	AT4G15200	green
245540_at	AT4G15230	blue
245541_at	AT4G15240	purple
245543_at	AT4G15260	red
245545_at	AT4G15280	yellow
245546_at	AT4G15290	blue
245552_at	AT4G15360	green
245559_at	AT4G15460	red
245560_at	AT4G15480	brown
245561_at	AT4G15500	purple
245563_at	AT4G14580	brown
245567_at	AT4G14630	greenyellow
245568_at	AT4G14650	pink
245570_at	AT4G14670	blue
245571_at	AT4G14695	brown
245577_at	AT4G14780	turquoise
245584_at	AT4G14940	red
245591_at	AT4G14530	pink
245592_at	AT4G14540	blue
245594_at	AT4G14570	pink
245595_at	AT4G14170	greenyellow
245601_at	AT4G14240	pink
245602_at	AT4G14270	blue
245609_at	AT4G14370	green
245609_at	AT4G14368	green
245610_at	AT4G14380	blue
245612_at	AT4G14440	brown
245617_at	AT4G14490	green
245618_at	AT4G14510	yellow
245619_at	AT4G13990	brown
245622_at	AT4G14080	turquoise
245624_at	AT4G14090	magenta
245625_at	AT4G14160	magenta
245626_at	AT1G56700	blue
245627_at	AT1G56600	green
245633_at	AT1G25280	turquoise
245634_at	AT1G25270	black
245637_at	AT1G25230	blue
245639_at	AT1G25260	red
245640_at	AT1G25330	turquoise
245642_at	AT1G25275	turquoise
245648_at	AT1G24938	red
245652_at	AT4G13960	yellow
245653_at	AT4G13985	purple
245655_at	AT1G56530	yellow
245656_at	AT1G56620	black
245658_at	AT1G28270	green
245668_at	AT1G28330	blue
245669_at	AT1G28300	red
245671_at	AT1G28230	greenyellow
245673_at	AT1G56690	yellow
245686_at	AT5G22060	brown
245687_at	AT1G28320	pink
245705_at	AT5G04390	yellow
245707_at	AT5G04400	greenyellow
245708_at	AT5G04310	turquoise
245711_at	AT5G04340	yellow
245713_at	AT5G04370	purple
245714_at	AT5G04280	brown
245715_s_at	AT5G08690	magenta
245715_s_at	AT5G08670	magenta
245720_at	AT5G04210	greenyellow
245724_at	AT1G73390	brown
245725_at	AT1G73370	yellow
245728_at	AT1G73340	turquoise
245729_at	AT1G73490	brown
245731_at	AT1G73500	yellow
245736_at	AT1G73330	purple
245737_at	AT1G44160	turquoise
245738_at	AT1G44130	yellow
245744_at	AT1G51110	green
245746_at	AT1G51070	blue
245747_at	AT1G51100	magenta
245748_at	AT1G51140	pink
245749_at	AT1G51090	red
245753_at	AT1G35143	green
245755_at	AT1G35210	red
245757_at	AT1G35140	yellow
245760_s_at	AT1G66910	yellow
245760_s_at	AT1G66920	yellow
245761_at	AT1G66890	yellow
245765_at	AT1G33600	purple
245767_at	AT1G33610	purple
245771_at	AT1G30250	red
245775_at	AT1G30270	pink
245776_at	AT1G30260	blue
245777_at	AT1G73540	yellow
245780_at	AT1G45688	brown
245783_s_at	AT1G35180	purple
245783_s_at	AT1G35170	purple
245784_at	AT1G32190	green
245785_at	AT1G32180	black
245786_at	AT1G32150	blue
245789_at	AT1G32090	turquoise
245794_at	AT1G32170	blue
245795_at	AT1G32160	pink
245796_at	AT1G32230	turquoise
245797_at	AT1G45230	black
245801_at	AT1G46912	black
245804_at	AT1G46696	greenyellow
245805_at	AT1G46336	green
245807_at	AT1G46768	blue
245821_at	AT1G26270	black
245823_at	AT1G57906	green
245824_at	AT1G57943	magenta
245830_at	AT1G57790	pink
245831_at	AT1G48840	green
245832_at	AT1G48850	green
245834_at	AT1G42200	turquoise
245836_at	AT1G42250	black
245840_at	AT1G58420	brown
245842_at	AT1G58430	black
245854_at	AT5G13490	brown
245856_at	AT5G28240	red
245858_at	AT5G28280	yellow
245865_at	AT1G58025	grey
245868_at	AT1G58030	turquoise
245874_at	AT1G26250	magenta
245875_at	AT1G26240	magenta
245881_at	AT5G09460	red
245885_at	AT5G09440	blue
245889_at	AT5G09480	green
