fromNode	toNode	weight	direction	fromAltName	toAltName
244901_at	260981_at	0.551978321038938	undirected	ATMG00640	AT1G53460
244929_at	249476_at	0.522865537625252	undirected		AT5G38910
244929_at	253509_at	0.515153765304503	undirected		AT4G31710
244929_at	253999_at	0.538683809066444	undirected		AT4G26200
244929_at	260261_at	0.518501642337112	undirected		AT1G68450
244929_at	262244_at	0.526397988250229	undirected		AT1G48260
244929_at	265221_s_at	0.516793716949711	undirected		AT2G02000 /// AT2G02010
244979_at	AFFX-r2-Ec-bioC-3_at	0.524432596647128	undirected		
245031_at	258341_at	0.531234399073895	undirected	AT2G26360	AT3G22790
245035_at	245038_at	0.716220087814809	undirected	AT2G26400	AT2G26560
245035_at	245082_at	0.65363912251166	undirected	AT2G26400	AT2G23270
245035_at	245329_at	0.577251646969083	undirected	AT2G26400	AT4G14365
245035_at	245738_at	0.604214657210704	undirected	AT2G26400	AT1G44130
245035_at	245866_s_at	0.511236931141338	undirected	AT2G26400	AT1G57980 /// AT1G57990
245035_at	245875_at	0.514124974927563	undirected	AT2G26400	AT1G26240
245035_at	246406_at	0.631704932826448	undirected	AT2G26400	AT1G57650
245035_at	246988_at	0.681524421272947	undirected	AT2G26400	AT5G67340
245035_at	247145_at	0.600317643537787	undirected	AT2G26400	AT5G65600
245035_at	247655_at	0.619754191471501	undirected	AT2G26400	AT5G59820
245035_at	247848_at	0.659082408231707	undirected	AT2G26400	AT5G58120
245035_at	247913_at	0.70562154311146	undirected	AT2G26400	AT5G57510
245035_at	249188_at	0.602647668567185	undirected	AT2G26400	AT5G42830
245035_at	249197_at	0.586773662644527	undirected	AT2G26400	AT5G42380
245035_at	249264_s_at	0.572618804151766	undirected	AT2G26400	AT5G41740 /// AT5G41750
245035_at	249333_at	0.527523885100324	undirected	AT2G26400	AT5G40990
245035_at	249377_at	0.532013870690999	undirected	AT2G26400	AT5G40690
245035_at	249438_at	0.639323662677831	undirected	AT2G26400	AT5G40010
245035_at	249476_at	0.644255991993857	undirected	AT2G26400	AT5G38910
245035_at	249896_at	0.663975604268702	undirected	AT2G26400	AT5G22530
245035_at	250286_at	0.529088486183244	undirected	AT2G26400	AT5G13320
245035_at	250821_at	0.532529243686921	undirected	AT2G26400	AT5G05190
245035_at	251334_at	0.521597746012248	undirected	AT2G26400	AT3G61390
245035_at	251400_at	0.503472428422883	undirected	AT2G26400	AT3G60420
245035_at	251755_at	0.678901621030155	undirected	AT2G26400	AT3G55790
245035_at	251884_at	0.542489194458817	undirected	AT2G26400	AT3G54150
245035_at	251971_at	0.551875313209512	undirected	AT2G26400	AT3G53160
245035_at	252989_at	0.634014679571944	undirected	AT2G26400	AT4G38420
245035_at	253044_at	0.514667843146733	undirected	AT2G26400	AT4G37290
245035_at	253046_at	0.650422479838084	undirected	AT2G26400	AT4G37370
245035_at	253505_at	0.669184671506846	undirected	AT2G26400	AT4G31970
245035_at	253796_at	0.72214614110715	undirected	AT2G26400	AT4G28460
245035_at	253999_at	0.662969818981903	undirected	AT2G26400	AT4G26200
245035_at	254416_at	0.525961982019116	undirected	AT2G26400	AT4G21380
245035_at	256050_at	0.55726526650811	undirected	AT2G26400	AT1G07000
245035_at	256321_at	0.535832627181403	undirected	AT2G26400	AT1G55020
245035_at	256442_at	0.544314363912827	undirected	AT2G26400	AT3G10930
245035_at	256526_at	0.729645952641611	undirected	AT2G26400	AT1G66090
245035_at	256576_at	0.518057433305002	undirected	AT2G26400	AT3G28210
