fromNode	toNode	weight
ATMG00640	AT1G53460	0.551978321038938
ATMG00580	AT5G38910	0.522865537625252
ATMG00580	AT4G31710	0.515153765304503
ATMG00580	AT4G26200	0.538683809066444
ATMG00580	AT1G68450	0.518501642337112
ATMG00580	AT1G48260	0.526397988250229
ATMG00580	AT2G02000	0.516793716949711
ATMG00580	AT2G02010	0.516793716949711
ATCG00750	A	0.524432596647128
ATCG00750	F	0.524432596647128
ATCG00750	X	0.524432596647128
ATCG00750	-	0.524432596647128
ATCG00750	r	0.524432596647128
ATCG00750	2	0.524432596647128
ATCG00750	E	0.524432596647128
ATCG00750	c	0.524432596647128
ATCG00750	b	0.524432596647128
ATCG00750	i	0.524432596647128
ATCG00750	o	0.524432596647128
ATCG00750	C	0.524432596647128
ATCG00750	3	0.524432596647128
ATCG00750	_	0.524432596647128
ATCG00750	a	0.524432596647128
ATCG00750	t	0.524432596647128
AT2G26360	AT3G22790	0.531234399073895
AT2G26400	AT2G26560	0.716220087814809
AT2G26400	AT2G23270	0.65363912251166
AT2G26400	AT4G14365	0.577251646969083
AT2G26400	AT1G44130	0.604214657210704
AT2G26400	AT1G57980	0.511236931141338
AT2G26400	AT1G57990	0.511236931141338
AT2G26400	AT1G26240	0.514124974927563
AT2G26400	AT1G57650	0.631704932826448
AT2G26400	AT5G67340	0.681524421272947
AT2G26400	AT5G65600	0.600317643537787
AT2G26400	AT5G59820	0.619754191471501
AT2G26400	AT5G58120	0.659082408231707
AT2G26400	AT5G57510	0.70562154311146
AT2G26400	AT5G42830	0.602647668567185
AT2G26400	AT5G42380	0.586773662644527
AT2G26400	AT5G41750	0.572618804151766
AT2G26400	AT5G41740	0.572618804151766
AT2G26400	AT5G40990	0.527523885100324
AT2G26400	AT5G40690	0.532013870690999
AT2G26400	AT5G40010	0.639323662677831
AT2G26400	AT5G38910	0.644255991993857
AT2G26400	AT5G22530	0.663975604268702
AT2G26400	AT5G13320	0.529088486183244
AT2G26400	AT5G05190	0.532529243686921
AT2G26400	AT3G61390	0.521597746012248
AT2G26400	AT3G60420	0.503472428422883
AT2G26400	AT3G55790	0.678901621030155
AT2G26400	AT3G54150	0.542489194458817
AT2G26400	AT3G53160	0.551875313209512
AT2G26400	AT4G38420	0.634014679571944
AT2G26400	AT4G37290	0.514667843146733
AT2G26400	AT4G37370	0.650422479838084
AT2G26400	AT4G31970	0.669184671506846
AT2G26400	AT4G28460	0.72214614110715
AT2G26400	AT4G26200	0.662969818981903
AT2G26400	AT4G21380	0.525961982019116
AT2G26400	AT1G07000	0.55726526650811
AT2G26400	AT1G55020	0.535832627181403
AT2G26400	AT3G10930	0.544314363912827
AT2G26400	AT1G66090	0.729645952641611
AT2G26400	AT3G28210	0.518057433305002
AT2G26400	AT3G28510	0.545217302819079
AT2G26400	AT3G18250	0.645683917209906
AT2G26400	AT3G15500	0.581677088071015
AT2G26400	AT3G02840	0.597369245360755
AT2G26400	AT3G09405	0.555006788017026
AT2G26400	AT3G09410	0.555006788017026
AT2G26400	AT3G03670	0.524659272799979
AT2G26400	AT1G01560	0.714885283013205
AT2G26400	AT1G42990	0.580638741844368
AT2G26400	AT1G68450	0.68779358888939
AT2G26400	AT1G69790	0.540667522018846
AT2G26400	AT2G41730	0.625145331980754
AT2G26400	AT1G02580	0.538806329502911
AT2G26400	AT1G02530	0.562530138073225
AT2G26400	AT1G02520	0.562530138073225
AT2G26400	AT1G53620	0.538645829755956
AT2G26400	AT1G26410	0.654511203396034
AT2G26400	AT1G26390	0.688582053456934
AT2G26400	AT1G26380	0.702557875446765
AT2G26400	AT1G32920	0.510569308531652
AT2G26400	AT1G32960	0.722899659114096
AT2G26400	AT1G05880	0.508709523280517
AT2G26400	AT1G48260	0.576110886207831
AT2G26400	AT2G04070	0.680940025249399
AT2G26400	AT2G21900	0.536235917473152
AT2G26400	AT2G36440	0.60713115075601
AT2G26400	AT1G55780	0.708848430147012
AT2G26400	AT1G55790	0.708848430147012
AT2G26400	AT1G05060	0.586306051043078
AT2G26400	AT2G02000	0.709136372356745
AT2G26400	AT2G02010	0.709136372356745
AT2G26400	AT2G43000	0.514147855416854
AT2G26400	AT2G32190	0.610594670539723
AT2G26400	AT2G32210	0.610594670539723
AT2G26400	AT2G32190	0.554471645321483
AT2G26400	AT2G01300	0.703437030173743
AT2G26400	AT2G18670	0.611666209309736
AT2G26400	AT2G18680	0.611666209309736
AT2G26400	AT2G29250	0.573427873414618
AT2G26400	AT2G29350	0.586528473567628
AT2G26400	AT2G23830	0.639515947907619
AT2G26400	AT2G38340	0.650204803989359
AT2G26400	AT2G45550	0.654509459441841
AT2G26400	AT2G30750	0.650598610962885
AT2G26400	AT2G30770	0.609500437534318
AT2G26560	AT2G23270	0.839886248272625
AT2G26560	AT4G14365	0.793666721435902
AT2G26560	AT1G44130	0.908383308371247
AT2G26560	AT1G35210	0.751512877160867
AT2G26560	AT1G57980	0.742844593893922
AT2G26560	AT1G57990	0.742844593893922
AT2G26560	AT1G26240	0.720334911883693
AT2G26560	AT5G20230	0.665029315149047
AT2G26560	AT1G51915	0.542313876492101
AT2G26560	AT1G57630	0.556723697906493
AT2G26560	AT1G57650	0.846963227796892
AT2G26560	AT5G25260	0.6293794126847
AT2G26560	AT5G25250	0.6293794126847
AT2G26560	AT5G67340	0.727995613378911
AT2G26560	AT5G66890	0.559724795710988
AT2G26560	AT5G65600	0.82540140115469
AT2G26560	AT5G59820	0.740814982531202
AT2G26560	AT5G58120	0.836863143606366
AT2G26560	AT5G57510	0.886962357670912
AT2G26560	AT5G44990	0.554935318262626
AT2G26560	AT5G42830	0.745829247455069
AT2G26560	AT5G42380	0.892751303221369
AT2G26560	AT5G41750	0.879104239029823
AT2G26560	AT5G41740	0.879104239029823
AT2G26560	AT5G40990	0.616582805819469
AT2G26560	AT5G40010	0.933097242556836
AT2G26560	AT5G39580	0.668896546656456
AT2G26560	AT5G38910	0.830503781435298
AT2G26560	AT5G38900	0.608850500980263
AT2G26560	AT5G22530	0.687101741724128
AT2G26560	AT5G22270	0.664616254877643
AT2G26560	AT5G13320	0.674586452105643
AT2G26560	AT5G11210	0.723481876686311
AT2G26560	AT5G06730	0.526391538938421
AT2G26560	AT5G05190	0.613159793647957
AT2G26560	AT5G02490	0.530702150540732
AT2G26560	AT3G62150	0.561875261598943
AT2G26560	AT3G61390	0.789531111804222
AT2G26560	AT3G60420	0.549764366196927
AT2G26560	AT3G59080	0.504958334103933
AT2G26560	AT3G55790	0.974662380879807
AT2G26560	AT3G54150	0.538074914657518
AT2G26560	AT3G53160	0.719003433511735
AT2G26560	AT4G39640	0.595742655488236
AT2G26560	AT4G38420	0.502656449230785
AT2G26560	AT4G37900	0.640486405034489
AT2G26560	AT4G37290	0.643055514303519
AT2G26560	AT4G37370	0.758059140881683
AT2G26560	AT4G35180	0.539745298151449
AT2G26560	AT4G33220	0.570879833920745
AT2G26560	AT4G31970	0.961458284606479
AT2G26560	AT4G31710	0.765987456218449
AT2G26560	AT4G28460	0.955950256739903
AT2G26560	AT4G26270	0.537204660607286
AT2G26560	AT4G26200	0.84461761185215
AT2G26560	AT4G23190	0.550351317628842
AT2G26560	AT4G23180	0.576092066909813
AT2G26560	AT4G21620	0.599779719105178
AT2G26560	AT4G21380	0.719484813393153
AT2G26560	AT4G18990	0.732597681703991
AT2G26560	AT4G18250	0.575210424322116
AT2G26560	AT4G11170	0.634262318822772
AT2G26560	AT4G09100	0.513755317799262
AT2G26560	AT4G04990	0.573624964452281
