TF	Target	importance
AT3G15500	AT2G26400	0.009464070696234334
AT2G22540	AT5G02790	0.0023309143649096527
AT2G43000	AT4G26120	0.050814817023609946
AT1G74840	AT2G15890	0.2179979994909668
AT3G15500	AT1G28010	0.0034061934393356808
AT2G21900	AT5G38900	0.03749651519785896
AT1G18570	AT3G59080	0.023332986510991353
AT3G15500	AT2G29250	0.005711672291147476
AT2G21900	AT4G11170	7.890479032410476e-05
AT2G21900	AT1G63750	0.0022979645877702014
AT3G23250	AT5G48400	0.010186476018947435
AT2G33480	AT4G15630	0.05446821886858754
AT2G43000	AT1G07000	0.002044918263750344
AT2G21900	AT1G66090	0.005349507024588499
AT3G23250	AT1G02520	0.029903302218321874
AT3G15500	AT1G18570	0.0244932497456444
AT1G18570	AT3G01970	0.0037790390140303356
AT2G43000	AT1G72900	0.048778342361540765
AT3G15500	AT5G11210	0.028822100251375823
AT3G15500	AT1G32940	0.016892674994614373
AT4G04890	AT5G22500	0.28213749675283467
AT2G24430	AT4G14060	0.004167787833182754
AT2G30250	AT1G18570	0.08065281914249814
AT2G21900	AT1G02520	0.030579737538904587
AT3G12820	AT5G02780	0.0074562913373145134
AT3G15500	AT5G39110	0.004471444677616908
AT2G46400	AT1G32960	0.009013373538046378
AT3G50260	AT2G30250	0.026445211302610138
AT2G21900	AT1G23710	0.04655066173872808
AT1G34180	AT4G14060	0.008646289783438973
AT2G21900	AT1G26410	0.06950655812873298
AT2G30250	AT5G57220	0.019704024410136464
AT3G23250	AT3G03670	0.017393870282075376
AT3G50260	AT3G19580	0.1403078445604441
AT3G23250	AT5G67340	0.013621422116143887
AT1G18570	AT1G68450	0.028105136952934515
AT3G50260	AT5G27420	0.084763462988713
AT2G43000	AT5G57220	0.025550552922841425
AT3G15500	AT1G57990	0.0281557856026188
AT3G15500	AT5G06730	0.001794771473127406
AT2G33480	AT5G64000	0.0037278161850648377
AT3G15500	AT1G57650	0.006586653020088544
AT3G23250	AT1G08050	0.0786031073206889
AT4G18880	AT1G29670	0.06254861317172428
AT2G33480	AT3G48020	0.0003416661153385232
AT2G38340	AT5G05190	0.012363044763567985
AT1G18570	AT1G74360	0.01180988306008458
AT2G24430	AT5G63560	0.0693955235044772
AT1G34180	AT5G07390	0.011016767969168714
AT1G28470	AT3G19580	0.006857091188298543
AT2G43000	AT3G48850	0.019727610263486888
AT2G38470	AT2G30250	0.009917777584581684
AT2G43000	AT2G02000	0.0017592548174981606
AT2G43000	AT5G42380	0.0026175316917103164
AT3G15500	AT4G12280	0.014878590994653764
AT2G33480	AT3G19580	0.046108360041185
AT3G23250	AT1G02530	0.00520135841339025
AT2G43000	AT1G55020	0.03682036631690111
AT3G50260	AT5G39580	0.01367258001493049
AT2G46400	AT1G26410	0.002095346775217917
AT2G47260	AT5G59530	0.17669097336261527
AT2G33480	AT1G28190	0.005198141458609122
AT2G43000	AT1G26380	0.0735896641153478
AT2G43000	AT2G47000	0.003374208159240849
AT2G22540	AT3G26580	0.12188453654825285
AT2G43000	AT3G15500	0.04531185563385669
AT3G15500	AT1G55020	0.0732040945992513
AT3G15500	AT1G68450	0.05775726948136353
AT2G24430	AT4G37900	0.01864318623599607
AT2G43000	AT3G59080	0.028718810116269235
AT1G01060	AT3G24170	0.07488670869214704
AT1G28470	AT1G02530	0.04458868452916048
AT3G15500	AT4G21620	0.050238903037415364
AT4G18880	AT3G48020	0.04233629875765318
AT3G01970	AT1G32230	0.019580741690436384
AT1G28470	AT2G47000	0.02352785784107185
AT3G15500	AT3G28510	0.023110392511593483
AT2G24430	AT4G29020	0.023328934018123526
AT2G43000	AT1G03660	0.07796735214825366
AT1G34180	AT2G42840	0.04028006212635723
AT2G43000	AT1G26410	0.04827573144618574
AT2G43000	AT3G14770	3.8288772012467725e-06
