nodeName	altName	nodeAttr[nodesPresent, ]
244901_at	ATMG00640	turquoise
244929_at	ATMG00580	brown
244979_at	ATCG00750	blue
245031_at	AT2G26360	blue
245035_at	AT2G26400	brown
245038_at	AT2G26560	brown
245041_at	AT2G26530	brown
245044_at	AT2G26500	magenta
245051_at	AT2G23320	turquoise
245076_at	AT2G23170	turquoise
245082_at	AT2G23270	brown
245083_at	AT2G23310	blue
245121_at	AT2G47610	purple
245136_at	AT2G45210	green
245138_at	AT2G45190	greenyellow
245148_at	AT2G45220	yellow
245172_at	AT2G47540	yellow
245175_at	AT2G47470	blue
245176_at	AT2G47440	blue
245193_at	AT1G67810	turquoise
245194_at	AT1G67820	turquoise
245197_at	AT1G67800	brown
245208_at	AT5G12330	brown
245215_at	AT1G67830	green
245219_at	AT1G59124	brown
245219_at	AT1G58807	brown
245228_at	AT3G29810	brown
245258_at	AT4G15340	blue
245267_at	AT4G14060	brown
245270_at	AT4G14960	blue
245274_at	AT4G14360	yellow
245287_at	AT4G14910	black
245291_at	AT4G16155	blue
245293_at	AT4G16660	blue
245294_at	AT4G14340	black
245301_at	AT4G17190	red
245304_at	AT4G15630	brown
245306_at	AT4G14690	black
245311_at	AT4G14320	purple
245323_at	AT4G16500	blue
245325_at	AT4G14130	yellow
245329_at	AT4G14365	brown
245340_at	AT4G14420	blue
245350_at	AT4G16830	turquoise
245355_at	AT4G17390	purple
245358_at	AT4G15900	turquoise
245363_at	AT4G15120	turquoise
245372_at	AT4G15000	purple
245385_at	AT4G14020	turquoise
245387_at	AT4G17520	purple
245391_at	AT4G16520	green
245393_at	AT4G16260	green
245399_at	AT4G17340	yellow
245412_at	AT4G17280	yellow
245418_at	AT4G17370	turquoise
245440_at	AT4G16680	brown
245447_at	AT4G16820	brown
245456_at	AT4G16950	turquoise
245463_at	AT4G17030	brown
245483_at	AT4G16190	green
245485_at	AT4G16230	brown
245486_x_at	AT4G16240	brown
245487_at	AT4G16250	turquoise
245523_at	AT4G15910	turquoise
245546_at	AT4G15290	blue
245560_at	AT4G15480	greenyellow
245567_at	AT4G14630	brown
245571_at	AT4G14695	blue
245602_at	AT4G14270	tan
245642_at	AT1G25275	turquoise
245659_at	AT1G28260	turquoise
245662_at	AT1G28190	brown
245668_at	AT1G28330	magenta
245674_at	AT1G56680	blue
245688_at	AT1G28290	red
245698_at	AT5G04160	blue
245711_at	AT5G04340	green
245737_at	AT1G44160	brown
245738_at	AT1G44130	brown
245746_at	AT1G51070	turquoise
245755_at	AT1G35210	brown
245756_at	AT1G35190	turquoise
245768_at	AT1G33590	turquoise
245777_at	AT1G73540	brown
245781_at	AT1G45976	pink
245791_at	AT1G32210	blue
245796_at	AT1G32230	brown
245809_at	AT1G58440	yellow
245832_at	AT1G48850	greenyellow
245838_at	AT1G58410	brown
245840_at	AT1G58420	brown
245866_s_at	AT1G57980	brown
245866_s_at	AT1G57990	brown
245868_at	AT1G58030	turquoise
245875_at	AT1G26240	brown
245891_at	AT5G09220	turquoise
245906_at	AT5G11070	red
245911_at	AT5G19690	purple
245915_s_at	AT5G19770	yellow
245915_s_at	AT5G19780	yellow
245925_at	AT5G28770	magenta
245932_at	AT5G09290	turquoise
245937_at	AT5G19750	purple
245944_at	AT5G19520	blue
245948_at	AT5G19540	green
245951_at	AT5G19550	brown
245967_at	AT5G19800	yellow
245976_at	AT5G13080	brown
245979_at	AT5G13150	red
245984_at	AT5G13090	magenta
245998_at	AT5G20830	turquoise
246000_at	AT5G20820	green
246005_at	AT5G08415	yellow
246011_at	AT5G08330	yellow
246018_at	AT5G10695	brown
246029_at	AT5G21090	green
246045_at	AT5G19430	pink
246055_at	AT5G08380	green
246071_at	AT5G20150	greenyellow
246092_at	AT5G20500	red
246094_at	AT5G19300	purple
246099_at	AT5G20230	brown
246114_at	AT5G20250	magenta
246144_at	AT5G20110	turquoise
246149_at	AT5G19890	brown
246150_at	AT5G19930	yellow
246158_at	AT5G19855	turquoise
246184_at	AT5G20950	purple
246185_at	AT5G20980	purple
246203_at	AT4G36610	greenyellow
246210_at	AT4G36420	purple
246229_at	AT4G37160	blue
246247_at	AT4G36640	greenyellow
246250_at	AT4G36880	black
246263_at	AT1G31780	blue
246266_at	AT1G31817	purple
246302_at	AT3G51860	black
246305_at	AT3G51890	turquoise
246311_at	AT3G51880	pink
246320_at	AT1G16560	red
246344_at	AT3G56730	greenyellow
246349_at	AT1G51915	brown
246368_at	AT1G51890	brown
246370_at	AT1G51920	brown
246376_at	AT1G51950	turquoise
246378_at	AT1G57620	blue
246391_at	AT1G77350	yellow
246401_at	AT1G57560	yellow
246403_at	AT1G57590	blue
246405_at	AT1G57630	brown
246406_at	AT1G57650	brown
246440_at	AT5G17650	brown
246446_at	AT5G17640	black
246457_at	AT5G16750	turquoise
246466_at	AT5G17010	greenyellow
246490_at	AT5G15948	blue
246490_at	AT5G15950	blue
246511_at	AT5G15490	red
246532_at	AT5G15870	brown
246534_at	AT5G15890	yellow
246538_at	AT5G15520	purple
246540_at	AT5G15600	yellow
246549_at	AT5G15050	blue
246550_at	AT5G14920	brown
246554_at	AT5G15450	black
246555_at	AT5G15470	blue
246565_at	AT5G15530	red
246566_at	AT5G14940	turquoise
246576_at	AT1G31650	brown
246584_at	AT5G14730	brown
246593_at	AT5G14790	yellow
246595_at	AT5G14780	turquoise
246611_at	AT5G35330	turquoise
246627_s_at	AT2G45300	greenyellow
246627_s_at	AT1G48860	greenyellow
246631_at	AT1G50740	brown
246652_at	AT5G35190	yellow
246682_at	AT5G33290	turquoise
246714_at	AT5G28220	blue
246744_at	AT5G27760	black
246772_at	AT5G27490	blue
246777_at	AT5G27420	brown
246784_at	AT5G27430	red
246785_at	AT5G27380	pink
246789_at	AT5G27600	black
246800_at	AT5G26780	blue
246821_at	AT5G26920	brown
246825_at	AT5G26260	blue
246830_at	AT5G26360	red
246843_at	AT5G26740	yellow
246844_at	AT5G26660	yellow
246856_at	AT5G26210	turquoise
246858_at	AT5G25930	brown
246884_at	AT5G26220	brown
246906_at	AT5G25475	turquoise
246908_at	AT5G25610	brown
246913_at	AT5G25830	blue
246919_at	AT5G25460	black
246922_at	AT5G25110	green
246923_at	AT5G25100	yellow
246927_s_at	AT5G25260	brown
246927_s_at	AT5G25250	brown
246935_at	AT5G25350	green
246943_at	AT5G25440	turquoise
246944_at	AT5G25450	turquoise
246957_at	AT5G24670	turquoise
246962_s_at	AT5G24800	turquoise
246988_at	AT5G67340	brown
246991_at	AT5G67400	yellow
246992_at	AT5G67430	black
247006_at	AT5G67490	black
247043_at	AT5G66880	green
247045_at	AT5G66930	brown
247052_at	AT5G66700	green
247058_at	AT5G66680	blue
247061_at	AT5G66780	black
247064_at	AT5G66890	brown
247069_at	AT5G66920	yellow
247072_at	AT5G66490	tan
247074_at	AT5G66590	red
247075_at	AT5G66410	red
247094_at	AT5G66280	red
247125_at	AT5G66070	brown
247145_at	AT5G65600	brown
247155_at	AT5G65750	turquoise
247161_at	AT5G65810	blue
247176_at	AT5G65110	brown
247178_at	AT5G65205	brown
247189_at	AT5G65390	yellow
247192_at	AT5G65360	purple
247208_at	AT5G64870	brown
247210_at	AT5G65020	yellow
247212_at	AT5G65040	turquoise
247215_at	AT5G64905	brown
247222_at	AT5G64840	turquoise
247232_at	AT5G64940	greenyellow
247251_at	AT5G64740	yellow
247267_at	AT5G64140	purple
247298_at	AT5G63840	blue
247313_at	AT5G63980	yellow
247314_at	AT5G64000	brown
247356_at	AT5G63800	yellow
247359_at	AT5G63560	brown
247362_at	AT5G63140	brown
247376_at	AT5G63310	purple
247382_at	AT5G63400	red
247403_at	AT5G62740	turquoise
247407_at	AT5G62900	black
247418_at	AT5G63030	turquoise
247431_at	AT5G62520	red
247432_at	AT5G62500	yellow
247435_at	AT5G62480	brown
247473_at	AT5G62260	turquoise
247474_at	AT5G62280	red
247476_at	AT5G62330	red
247477_at	AT5G62340	blue
247494_at	AT5G61790	red
247505_at	AT5G61970	blue
247517_at	AT5G61780	red
247523_at	AT5G61410	green
247524_at	AT5G61440	magenta
247525_at	AT5G61380	tan
247532_at	AT5G61560	brown
247540_at	AT5G61590	magenta
247545_at	AT5G61530	turquoise
247554_at	AT5G61010	turquoise
247566_at	AT5G61170	purple
247569_at	AT5G61240	yellow
247570_at	AT5G61250	turquoise
247571_at	AT5G61210	brown
247581_at	AT5G61350	red
247586_at	AT5G60660	yellow
247604_at	AT5G60950	red
247606_at	AT5G61000	purple
247611_at	AT5G60710	brown
247618_at	AT5G60280	brown
247630_at	AT5G60410	turquoise
247641_at	AT5G60540	turquoise
247651_at	AT5G59870	purple
247655_at	AT5G59820	brown
247677_at	AT5G59420	turquoise
247679_at	AT5G59540	turquoise
247686_at	AT5G59700	turquoise
247706_at	AT5G59480	blue
247717_at	AT5G59320	turquoise
247720_at	AT5G59290	yellow
247726_at	AT5G59430	tan
247729_at	AT5G59530	brown
247735_at	AT5G59440	turquoise
247742_at	AT5G58980	turquoise
247745_at	AT5G59030	black
247771_at	AT5G58590	turquoise
247780_at	AT5G58770	greenyellow
247781_at	AT5G58784	blue
247783_at	AT5G58800	pink
247791_at	AT5G58710	red
247799_at	AT5G58840	brown
247819_at	AT5G58350	turquoise
247831_at	AT5G58540	green
247835_at	AT5G57910	pink
247842_at	AT5G58030	red
247843_at	AT5G58050	brown
247848_at	AT5G58120	brown
247855_at	AT5G58210	turquoise
247871_at	AT5G57530	yellow
247884_at	AT5G57800	brown
247895_at	AT5G58010	yellow
247913_at	AT5G57510	brown
247914_at	AT5G57540	yellow
247925_at	AT5G57560	red
247949_at	AT5G57220	brown
247964_at	AT5G56600	turquoise
247965_at	AT5G56540	yellow
247983_at	AT5G56630	black
248007_at	AT5G56260	turquoise
248025_at	AT5G55850	pink
248027_at	AT5G55630	blue
248048_at	AT5G56080	black
248060_at	AT5G55560	turquoise
248068_at	AT5G55610	blue
248074_at	AT5G55730	red
248085_at	AT5G55480	yellow
248118_at	AT5G55050	yellow
248124_at	AT5G54730	brown
248128_at	AT5G54770	green
248132_at	AT5G54840	turquoise
248138_at	AT5G54960	tan
248139_at	AT5G54970	purple
248148_at	AT5G54930	green
248151_at	AT5G54270	green
248164_at	AT5G54490	brown
248171_at	AT5G54680	black
248178_at	AT5G54370	yellow
248179_at	AT5G54380	yellow
248186_at	AT5G53880	turquoise
248200_at	AT5G54160	yellow
248208_at	AT5G53980	green
248209_at	AT5G53990	brown
248234_at	AT5G53850	black
248252_at	AT5G53250	yellow
248255_at	AT5G53350	pink
248271_at	AT5G53420	black
248283_at	AT5G52920	blue
248305_at	AT5G52560	yellow
248311_at	AT5G52570	black
248326_at	AT5G52820	turquoise
248327_at	AT5G52750	brown
248330_at	AT5G52810	black
248335_at	AT5G52450	turquoise
248340_at	AT5G52180	blue
248347_at	AT5G52250	yellow
248381_at	AT5G51830	black
248406_at	AT5G51490	blue
248408_at	AT5G51520	blue
248427_at	AT5G51750	brown
248448_at	AT5G51190	brown
248452_at	AT5G51300	pink
248459_at	AT5G51020	green
248475_at	AT5G50880	blue
248487_at	AT5G51070	turquoise
248495_at	AT5G50780	black
248506_at	AT5G50370	blue
248511_at	AT5G50375	blue
248512_at	AT1G08540	red
248512_at	AT5G50460	red
248526_at	AT5G50740	purple
248539_at	AT5G50130	brown
248545_at	AT5G50260	brown
248558_at	AT5G49990	turquoise
248569_at	AT5G49770	brown
248576_at	AT5G49810	yellow
248588_at	AT5G49540	red
248590_at	AT5G49660	green
248606_at	AT5G49448	magenta
248606_at	AT5G49450	magenta
248608_at	AT5G49460	yellow
248611_at	AT5G49520	brown
248619_at	AT5G49630	brown
248621_at	AT5G49350	black
248622_at	AT5G49360	red
248622_at	AT5G01980	red
248652_at	AT5G49270	yellow
248655_at	AT5G48760	purple
248664_at	AT5G48580	red
248676_at	AT5G48850	greenyellow
248681_at	AT5G48900	yellow
248689_at	AT5G48150	green
248690_at	AT5G48230	red
248700_at	AT5G48400	brown
248701_at	AT5G48410	brown
248717_at	AT5G48175	turquoise
248718_at	AT5G47770	yellow
248719_at	AT5G47910	brown
248722_at	AT5G47810	turquoise
248723_at	AT5G47950	blue
248725_at	AT5G47980	blue
248727_at	AT5G47990	yellow
248728_at	AT5G48000	yellow
248729_at	AT5G48010	yellow
248763_at	AT5G47550	turquoise
248767_at	AT5G47710	brown
248775_at	AT5G47850	brown
248777_at	AT5G47920	brown
248790_at	AT5G47450	blue
248819_at	AT5G47050	brown
248821_at	AT5G47070	brown
248844_s_at	AT5G46900	yellow
248844_s_at	AT5G46890	yellow
248868_at	AT5G46780	brown
248879_at	AT5G46180	brown
248883_at	AT5G46190	turquoise
248889_at	AT5G46230	red
248903_at	AT5G46290	blue
248912_at	AT5G45670	brown
248916_at	AT5G45840	yellow
248952_at	AT5G45410	blue
248966_at	AT5G45360	pink
248968_at	AT5G45280	yellow
248970_at	AT5G45380	green
248978_at	AT5G45070	black
248979_at	AT5G45080	turquoise
248980_at	AT5G45090	turquoise
248994_at	AT5G45250	black
249001_at	AT5G44990	brown
249033_at	AT5G44920	green
249037_at	AT5G44130	yellow
249044_at	AT5G44370	blue
249058_at	AT5G44510	brown
249059_at	AT5G44530	yellow
249063_at	AT5G44110	greenyellow
249073_at	AT5G44020	yellow
249076_at	AT5G43970	purple
249108_at	AT5G43690	turquoise
249115_at	AT5G43810	turquoise
249125_at	AT5G43450	brown
249131_at	AT5G43110	blue
249143_at	AT5G43230	yellow
249148_at	AT5G43260	turquoise
249159_at	AT5G43460	brown
249167_at	AT5G42860	yellow
249175_at	AT5G42970	blue
249188_at	AT5G42830	brown
249195_s_at	AT5G42510	yellow
249195_s_at	AT5G42500	yellow
249197_at	AT5G42380	brown
249203_at	AT5G42590	greenyellow
249217_at	AT5G42300	turquoise
249220_at	AT5G42420	blue
249227_at	AT5G42180	yellow
249237_at	AT5G42050	brown
249248_at	AT5G42320	blue
249252_at	AT5G42010	turquoise
249264_s_at	AT5G41750	brown
249264_s_at	AT5G41740	brown
249289_at	AT5G41040	greenyellow
249320_at	AT5G40910	turquoise
249333_at	AT5G40990	brown
249358_at	AT5G40510	yellow
249366_at	AT5G40610	red
249375_at	AT5G40730	yellow
249377_at	AT5G40690	brown
249380_at	AT5G40370	turquoise
249417_at	AT5G39670	brown
249427_at	AT5G39850	brown
249437_at	AT5G39990	blue
249438_at	AT5G40010	brown
249459_at	AT5G39580	brown
249469_at	AT5G39320	yellow
249476_at	AT5G38910	brown
249481_at	AT5G38900	brown
249487_at	AT5G39040	black
249490_s_at	AT5G39150	brown
249490_s_at	AT5G39120	brown
249490_s_at	AT5G39180	brown
249490_s_at	AT5G39110	brown
249494_at	AT5G39050	black
249516_s_at	AT5G38550	turquoise
249516_s_at	AT5G38540	turquoise
249525_at	AT5G38660	pink
249525_at	AT5G38650	pink
249535_at	AT5G38820	black
249580_at	AT5G37740	turquoise
249596_s_at	AT5G38010	greenyellow
249596_s_at	AT5G37950	greenyellow
249599_at	AT5G37990	turquoise
249626_at	AT5G37540	red
249652_at	AT5G37070	turquoise
249675_at	AT5G35940	blue
249677_at	AT5G35970	black
249712_at	AT5G35620	blue
249717_at	AT5G35730	blue
249718_at	AT5G35740	blue
249719_at	AT5G35735	brown
249720_at	AT5G35700	blue
249742_at	AT5G24490	magenta
249756_at	AT5G24313	yellow
249773_at	AT5G24140	yellow
249777_at	AT5G24210	brown
249783_at	AT5G24270	black
249797_at	AT5G23750	yellow
249810_at	AT5G23920	greenyellow
249812_at	AT5G23830	yellow
249814_at	AT5G23840	yellow
249818_at	AT5G23860	yellow
249835_s_at	AT5G23510	turquoise
249835_s_at	AT5G23490	turquoise
249847_at	AT5G23210	yellow
249862_at	AT5G22920	magenta
249868_at	AT5G23030	red
249881_at	AT5G23190	greenyellow
249885_at	AT5G22940	yellow
249888_s_at	AT5G37340	turquoise
249888_s_at	AT5G22480	turquoise
249893_at	AT5G22555	turquoise
249895_at	AT5G22500	brown
249896_at	AT5G22530	brown
249901_at	AT5G22650	purple
249919_at	AT5G19250	yellow
249934_at	AT5G22410	yellow
249941_at	AT5G22270	brown
249942_at	AT5G22300	brown
249942_at	AT1G42970	brown
249945_at	AT5G22440	purple
249971_at	AT5G19110	blue
249974_at	AT5G18780	turquoise
250014_at	AT5G17990	brown
250024_at	AT5G18270	brown
250028_at	AT5G18130	green
250029_at	AT5G18200	black
250033_at	AT5G18110	black
250034_at	AT5G18280	red
250054_at	AT5G17860	black
250055_at	AT5G17770	yellow
250059_at	AT5G17820	yellow
250062_at	AT5G17760	turquoise
250064_at	AT5G17890	turquoise
250074_at	AT5G17310	blue
250094_at	AT5G17380	green
250102_at	AT5G16590	yellow
250108_at	AT5G15150	yellow
250110_at	AT5G15350	blue
250125_at	AT5G16390	blue
250130_at	AT5G16510	yellow
250157_at	AT5G15180	yellow
250165_at	AT5G15290	blue
250177_at	AT5G14420	brown
250197_at	AT5G14590	turquoise
250200_at	AT5G14130	greenyellow
250203_at	AT5G13980	blue
250204_at	AT5G13990	yellow
250206_at	AT5G14040	red
